Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
#Gadhvi (He thought he was Gandhi),2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,7.0,1,1,2,246,660,Drama Gaurav Bakshi Rasika Dugal Vivek Ghamande
#Yaaram,2019.0,110.0,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,7.0,2,1,5,187,1406,"Comedy, Romance Ovais Khan Prateik Ishita Raj"
...Aur Pyaar Ho Gaya,1997.0,147.0,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,29.0,3,15,18,160,1605,"Comedy, Drama, Musical Rahul Rawail Bobby Deol Aishwarya Rai Bachchan"
...Yahaan,2005.0,142.0,"Drama, Romance, War",7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,21.0,3,6,20,306,2143,"Drama, Romance, War Shoojit Sircar Jimmy Sheirgill Minissha Lamba"
?: A Question Mark,2012.0,82.0,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,14.0,3,1,1,337,144,"Horror, Mystery, Thriller Allyson Patel Yash Dave Muntazir Ahmad"
@Andheri,2014.0,116.0,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,12.0,3,1,1,37,421,"Action, Crime, Thriller Biju Bhaskar Nair Augustine Fathima Babu"
1:1.6 An Ode to Lost Love,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,22.0,1,1,10,246,1134,Drama Madhu Ambat Rati Agnihotri Gulshan Grover
1:13:7 Ek Tera Saath,2016.0,120.0,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,10.0,1,2,3,333,282,Horror Arshad Siddiqui Pankaj Berry Anubhav Dhir
100 Days,1991.0,161.0,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,35.0,3,14,39,340,1448,"Horror, Romance, Thriller Partho Ghosh Jackie Shroff Madhuri Dixit"
100% Love,2012.0,166.0,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,14.0,3,1,2,162,1580,"Comedy, Drama, Romance Rabi Kinagi Jeet Koyel Mallick"
102 Not Out,2018.0,102.0,"Comedy, Drama",7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,8.0,2,4,104,154,2389,"Comedy, Drama Umesh Shukla Amitabh Bachchan Rishi Kapoor"
10ml LOVE,2010.0,87.0,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,16.0,3,4,1,162,2094,"Comedy, Drama, Romance Sharat Katariya Neil Bhoopalam Anusha Bose"
12 O'Clock,1958.0,132.0,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,68.0,3,15,4,202,1500,"Crime, Drama, Mystery Pramod Chakravorty Guru Dutt Waheeda Rehman"
12 O'Clock,2021.0,105.0,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,5.0,2,34,93,342,1721,"Horror, Thriller Ram Gopal Varma Mithun Chakraborty Makrand Deshpande"
127 B,2017.0,116.0,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,9.0,2,1,1,174,2052,"Comedy, Horror Seshu Kmr Mast Ali Aziz Naser"
13B: Fear Has a New Address,2009.0,146.0,"Drama, Horror, Mystery",7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,17.0,3,1,6,285,2465,"Drama, Horror, Mystery Vikram K. Kumar Madhavan Neetu Chandra"
15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,21.0,1,6,37,246,257,Drama Aparna Sen Shabana Azmi Konkona Sen Sharma
15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,33.0,1,4,4,246,2430,Drama Vicky Ranawat Ronit Roy Tisca Chopra
16 December,2002.0,158.0,"Action, Thriller",6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,24.0,2,5,3,78,1175,"Action, Thriller Mani Shankar Milind Soman Danny Denzongpa"
18.11,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,12.0,1,1,1,0,1272,Action Mohibul Haque Rehal Khan Gulshan Grover
